Bait	Prey	PreyGene	Spec	SpecSum	AvgSpec	NumReplicates	ctrlCounts	AvgP	MaxP	TopoAvgP	TopoMaxP	SaintScore	logOddsScore	FoldChange	BFDR	ctrlSubtracted	CLSC	Specificity	UniqueSpec	UniqueSpecSum	UniqueAvgSpec	PreySequenceLength	UniProtID
E	O15269	SPTLC1	16|16	32	16.0	2	0|0|0|0|0|0|0|0|0|0|0|0	1.0	1.0	1.0	1.0	1.0	25.38	160.0	0.0	16.0	18.6	2.53	10|10	20	10.0	473	SPTC1_HUMAN
E	O15498	YKT6	16|14	30	15.0	2	0|0|3|0|0|0|0|0|0|0|0|0	1.0	1.0	1.0	1.0	1.0	5.09	15.0	0.0	14.75	40.97	2.24	10|9	19	9.5	198	YKT6_HUMAN
E	O43291	SPINT2	11|10	21	10.5	2	0|0|0|0|0|0|0|0|0|0|0|0	1.0	1.0	1.0	1.0	1.0	16.37	105.0	0.0	10.5	22.92	2.04	6|7	13	6.5	252	SPIT2_HUMAN
E	P23141	CES1	8|15	23	11.5	2	3|2|0|0|0|0|0|0|0|0|0|0	0.98	1.0	0.98	1.0	0.98	2.95	6.9	0.0	11.08	10.75	1.03	6|14	20	10.0	567	EST1_HUMAN
E	P81408	FAM189B	4|4	8	4.0	2	0|0|0|0|0|0|0|0|0|0|0|0	1.0	1.0	1.0	1.0	1.0	6.7	40.0	0.0	4.0	3.38	104.0	4|4	8	4.0	650	F189B_HUMAN
E	Q96TA2	YME1L1	12|13	25	12.5	2	0|0|0|0|0|0|0|0|0|0|0|0	1.0	1.0	1.0	1.0	1.0	19.37	125.0	0.0	12.5	9.6	7.22	11|11	22	11.0	716	YMEL1_HUMAN
E	O95486	SEC24A	24|22	46	23.0	2	4|2|5|7|7|0|0|0|3|4|4|2	1.0	1.0	1.0	1.0	1.0	6.31	3.63	0.0	19.83	9.98	1.92	15|15	30	15.0	1093	SC24A_HUMAN
E	O76031	CLPX	39|40	79	39.5	2	4|0|0|0|0|0|0|0|0|0|0|0	1.0	1.0	1.0	1.0	1.0	10.03	29.62	0.0	39.17	34.03	10.68	26|24	50	25.0	633	CLPX_HUMAN
E	O95070	YIF1A	2|3	5	2.5	2	0|0|0|0|0|0|0|0|0|0|0|0	0.98	0.99	0.98	0.99	0.98	3.17	25.0	0.0	2.5	4.69	4.19	2|2	4	2.0	293	YIF1A_HUMAN
E	P30048	PRDX3	2|2	4	2.0	2	0|0|0|0|0|0|0|0|0|0|0|0	0.96	0.96	0.96	0.96	0.96	3.17	20.0	0.0	2.0	4.3	3.35	2|2	4	2.0	256	PRDX3_HUMAN
E	P49753	ACOT2	61|59	120	60.0	2	0|0|0|0|0|0|0|0|0|0|0|0	1.0	1.0	1.0	1.0	1.0	87.62	600.0	0.0	60.0	68.32	7.14	23|21	44	22.0	483	ACOT2_HUMAN
E	Q07065	CKAP4	23|24	47	23.5	2	0|0|0|0|0|0|0|0|0|0|0|0	1.0	1.0	1.0	1.0	1.0	35.75	235.0	0.0	23.5	21.47	2.03	19|21	40	20.0	602	CKAP4_HUMAN
E	A1L0T0	ILVBL	5|3	8	4.0	2	0|0|0|0|0|0|0|0|0|0|0|0	1.0	1.0	1.0	1.0	1.0	4.99	40.0	0.0	4.0	3.48	2.42	5|3	8	4.0	632	ILVBL_HUMAN
E	Q6P1M0	SLC27A4	2|3	5	2.5	2	0|0|0|0|0|0|0|0|0|0|0|0	0.98	0.99	0.98	0.99	0.98	3.14	25.0	0.0	2.5	2.14	0.73	2|3	5	2.5	643	S27A4_HUMAN
E	O60266	ADCY3	7|7	14	7.0	2	0|0|0|0|0|0|0|0|0|0|0|0	1.0	1.0	1.0	1.0	1.0	11.62	70.0	0.0	7.0	3.37	6.87	5|5	10	5.0	1144	ADCY3_HUMAN
E	Q15286	RAB35	7|9	16	8.0	2	0|0|0|0|0|0|0|0|2|4|0|0	0.79	0.9	0.79	0.9	0.79	0.8	4.0	0.01	7.5	20.52	1.12	4|5	9	4.5	201	RAB35_HUMAN
E	P08910	ABHD2	13|13	26	13.0	2	0|0|0|0|0|0|0|0|0|0|0|0	1.0	1.0	1.0	1.0	1.0	20.88	130.0	0.0	13.0	16.82	3.61	9|10	19	9.5	425	ABHD2_HUMAN
E	O15258	RER1	8|6	14	7.0	2	0|0|0|0|0|0|0|0|0|0|0|0	1.0	1.0	1.0	1.0	1.0	10.03	70.0	0.0	7.0	19.64	3.53	4|4	8	4.0	196	RER1_HUMAN
E	Q9UDY4	DNAJB4	6|6	12	6.0	2	0|0|0|0|0|0|0|0|0|0|0|0	1.0	1.0	1.0	1.0	1.0	10.05	60.0	0.0	6.0	9.79	26.0	5|4	9	4.5	337	DNJB4_HUMAN
E	Q9UGP8	SEC63	2|2	4	2.0	2	0|0|0|0|0|0|0|0|0|0|0|0	0.96	0.96	0.96	0.96	0.96	3.11	20.0	0.0	2.0	1.45	0.86	2|2	4	2.0	760	SEC63_HUMAN
E	Q99653	CHP1	5|7	12	6.0	2	0|0|0|0|0|0|0|0|0|0|0|0	1.0	1.0	1.0	1.0	1.0	8.38	60.0	0.0	6.0	16.92	2.58	3|7	10	5.0	195	CHP1_HUMAN
E	Q99623	PHB2	13|12	25	12.5	2	0|0|0|0|0|0|0|0|0|0|0|0	1.0	1.0	1.0	1.0	1.0	19.62	125.0	0.0	12.5	22.99	18.06	9|10	19	9.5	299	PHB2_HUMAN
E	O00154	ACOT7	4|9	13	6.5	2	0|0|0|0|0|0|0|0|0|0|0|0	1.0	1.0	1.0	1.0	1.0	6.73	65.0	0.0	6.5	9.66	1.19	3|6	9	4.5	370	BACH_HUMAN
E	Q9BZF1	OSBPL8	13|13	26	13.0	2	0|0|3|0|0|0|0|0|0|0|0|0	0.99	0.99	0.99	0.99	0.99	4.72	13.0	0.0	12.75	8.28	2.07	9|11	20	10.0	847	OSBL8_HUMAN
E	Q8WUK0	PTPMT1	2|3	5	2.5	2	0|0|0|0|0|0|0|0|0|0|0|0	0.98	0.99	0.98	0.99	0.98	3.13	25.0	0.0	2.5	6.84	10.0	2|3	5	2.5	201	PTPM1_HUMAN
E	Q5SQN1	SNAP47	20|24	44	22.0	2	0|0|5|3|4|0|0|0|0|0|0|0	1.0	1.0	1.0	1.0	1.0	10.36	5.5	0.0	21.0	24.89	2.59	14|15	29	14.5	464	SNP47_HUMAN
E	Q96CW1	AP2M1	10|8	18	9.0	2	0|0|0|0|0|0|0|0|0|0|0|0	1.0	1.0	1.0	1.0	1.0	13.31	90.0	0.0	9.0	11.43	1.03	7|6	13	6.5	433	AP2M1_HUMAN
E	Q8NEN9	PDZD8	12|13	25	12.5	2	0|0|2|0|0|0|0|0|0|0|0|0	1.0	1.0	1.0	1.0	1.0	6.87	18.75	0.0	12.33	5.88	3.81	11|11	22	11.0	1154	PDZD8_HUMAN
E	O96005	CLPTM1	4|6	10	5.0	2	0|0|0|0|0|0|0|0|0|0|0|0	1.0	1.0	1.0	1.0	1.0	6.7	50.0	0.0	5.0	4.11	0.57	4|6	10	5.0	669	CLPT1_HUMAN
E	Q6UXM1	LRIG3	12|10	22	11.0	2	0|0|0|0|0|0|0|0|0|0|0|0	1.0	1.0	1.0	1.0	1.0	16.31	110.0	0.0	11.0	5.41	2.26	12|10	22	11.0	1119	LRIG3_HUMAN
E	Q00610	CLTC	40|53	93	46.5	2	6|8|0|0|3|0|0|0|0|0|9|9	1.0	1.0	1.0	1.0	1.0	20.46	5.37	0.0	43.58	14.31	1.26	32|45	77	38.5	1675	CLH1_HUMAN
E	Q92887	ABCC2	17|12	29	14.5	2	0|0|0|0|0|0|0|0|0|0|0|0	1.0	1.0	1.0	1.0	1.0	19.37	145.0	0.0	14.5	5.16	1.64	16|10	26	13.0	1545	MRP2_HUMAN
E	Q9H490	PIGU	7|7	14	7.0	2	0|0|0|0|0|0|0|0|0|0|0|0	1.0	1.0	1.0	1.0	1.0	11.62	70.0	0.0	7.0	8.85	2.07	3|3	6	3.0	435	PIGU_HUMAN
E	P11766	ADH5	2|3	5	2.5	2	0|0|0|0|0|0|0|0|0|0|0|0	0.98	0.99	0.98	0.99	0.98	3.11	25.0	0.0	2.5	3.68	1.67	2|3	5	2.5	374	ADHX_HUMAN
E	Q8NFH5	NUP35	11|14	25	12.5	2	0|0|3|2|0|0|0|0|0|0|0|0	1.0	1.0	1.0	1.0	1.0	5.93	7.5	0.0	12.08	20.38	3.12	9|10	19	9.5	326	NUP35_HUMAN
E	P21964	COMT	3|5	8	4.0	2	0|0|0|0|0|0|0|0|0|0|0|0	1.0	1.0	1.0	1.0	1.0	4.96	40.0	0.0	4.0	8.12	20.8	3|5	8	4.0	271	COMT_HUMAN
E	P10606	COX5B	6|6	12	6.0	2	0|0|0|0|0|0|0|0|0|0|0|0	1.0	1.0	1.0	1.0	1.0	10.18	60.0	0.0	6.0	25.58	5.29	4|5	9	4.5	129	COX5B_HUMAN
E	Q4G0N4	NADK2	11|8	19	9.5	2	0|0|0|0|0|0|0|0|0|0|0|0	1.0	1.0	1.0	1.0	1.0	13.23	95.0	0.0	9.5	11.82	8.23	10|7	17	8.5	442	NAKD2_HUMAN
E	O75976	CPD	3|2	5	2.5	2	0|0|0|0|0|0|0|0|0|0|0|0	0.98	0.99	0.98	0.99	0.98	3.11	25.0	0.0	2.5	1.0	0.36	3|2	5	2.5	1380	CBPD_HUMAN
E	P31327	CPS1	5|5	10	5.0	2	0|0|0|0|0|0|0|0|0|0|0|0	1.0	1.0	1.0	1.0	1.0	8.48	50.0	0.0	5.0	1.83	2.74	5|4	9	4.5	1506	CPSM_HUMAN
E	Q86UL3	GPAT4	6|8	14	7.0	2	0|0|0|0|0|0|0|0|0|0|0|0	1.0	1.0	1.0	1.0	1.0	10.03	70.0	0.0	7.0	8.44	1.87	4|6	10	5.0	456	GPAT4_HUMAN
E	P00167	CYB5A	11|11	22	11.0	2	0|0|0|0|0|0|0|0|0|0|0|0	1.0	1.0	1.0	1.0	1.0	17.84	110.0	0.0	11.0	61.73	3.21	4|4	8	4.0	98	CYB5_HUMAN
E	Q16678	CYP1B1	10|12	22	11.0	2	0|0|0|0|0|0|0|0|0|0|0|0	1.0	1.0	1.0	1.0	1.0	16.31	110.0	0.0	11.0	11.14	9.86	9|10	19	9.5	543	CP1B1_HUMAN
E	Q8N0U8	VKORC1L1	3|6	9	4.5	2	0|0|0|0|0|0|0|0|0|0|0|0	1.0	1.0	1.0	1.0	1.0	4.96	45.0	0.0	4.5	14.06	2.85	3|5	8	4.0	176	VKORL_HUMAN
E	Q86W74	ANKRD46	5|6	11	5.5	2	0|0|0|0|0|0|0|0|0|0|0|0	1.0	1.0	1.0	1.0	1.0	8.38	55.0	0.0	5.5	13.27	2.86	4|4	8	4.0	228	ANR46_HUMAN
E	Q7Z7G8	VPS13B	16|21	37	18.5	2	0|0|0|0|0|0|0|0|0|0|0|0	1.0	1.0	1.0	1.0	1.0	25.38	185.0	0.0	18.5	2.53	1.33	14|21	35	17.5	4022	VP13B_HUMAN
E	Q8NHP6	MOSPD2	9|12	21	10.5	2	0|0|0|0|0|0|0|0|0|0|0|0	1.0	1.0	1.0	1.0	1.0	14.76	105.0	0.0	10.5	11.15	2.04	8|10	18	9.0	518	MSPD2_HUMAN
E	Q16850	CYP51A1	66|54	120	60.0	2	0|0|0|0|0|0|0|0|0|0|0|0	1.0	1.0	1.0	1.0	1.0	80.51	600.0	0.0	60.0	64.83	3.81	24|23	47	23.5	509	CP51A_HUMAN
E	Q6ZXV5	TMTC3	12|9	21	10.5	2	0|0|0|0|0|0|0|0|0|0|0|0	1.0	1.0	1.0	1.0	1.0	14.76	105.0	0.0	10.5	6.32	0.92	8|7	15	7.5	914	TMTC3_HUMAN
E	P14868	DARS1	7|12	19	9.5	2	2|0|0|0|0|0|0|0|0|0|0|0	0.99	1.0	0.99	1.0	0.99	3.62	14.25	0.0	9.33	10.24	1.35	6|12	18	9.0	501	SYDC_HUMAN
E	P11182	DBT	16|15	31	15.5	2	0|0|0|0|0|0|0|0|0|0|0|0	1.0	1.0	1.0	1.0	1.0	23.95	155.0	0.0	15.5	17.69	7.33	10|9	19	9.5	482	ODB2_HUMAN
E	Q8NFQ8	TOR1AIP2	9|9	18	9.0	2	0|0|0|0|0|0|0|0|0|0|0|0	1.0	1.0	1.0	1.0	1.0	14.76	90.0	0.0	9.0	10.53	2.5	6|6	12	6.0	470	TOIP2_HUMAN
E	P39656	DDOST	2|5	7	3.5	2	0|0|0|0|0|0|0|0|0|0|0|0	0.98	1.0	0.98	1.0	0.98	3.29	35.0	0.0	3.5	4.22	1.61	2|3	5	2.5	456	OST48_HUMAN
E	Q9UBM7	DHCR7	9|8	17	8.5	2	0|0|0|0|0|0|0|0|0|0|0|0	1.0	1.0	1.0	1.0	1.0	13.23	85.0	0.0	8.5	9.84	1.42	6|6	12	6.0	475	DHCR7_HUMAN
E	P09622	DLD	14|17	31	15.5	2	4|5|0|0|0|0|0|0|0|0|0|0	0.97	0.99	0.98	0.99	0.98	3.23	5.17	0.0	14.75	15.94	2.44	9|8	17	8.5	509	DLDH_HUMAN
E	Q13409	DYNC1I2	2|3	5	2.5	2	0|0|0|0|0|0|0|0|0|0|0|0	0.98	0.99	0.98	0.99	0.98	3.11	25.0	0.0	2.5	2.25	0.67	2|3	5	2.5	612	DC1I2_HUMAN
E	Q4KMQ2	ANO6	71|67	138	69.0	2	0|0|5|3|2|0|0|0|0|0|0|0	1.0	1.0	1.0	1.0	1.0	72.89	20.7	0.0	68.17	41.2	3.31	31|29	60	30.0	910	ANO6_HUMAN
E	P05198	EIF2S1	6|10	16	8.0	2	0|0|0|0|0|0|0|0|0|0|0|0	1.0	1.0	1.0	1.0	1.0	10.08	80.0	0.0	8.0	13.97	1.44	5|7	12	6.0	315	IF2A_HUMAN
E	P29317	EPHA2	5|9	14	7.0	2	0|0|0|0|0|0|0|0|0|0|0|0	1.0	1.0	1.0	1.0	1.0	8.38	70.0	0.0	7.0	3.94	1.04	5|9	14	7.0	976	EPHA2_HUMAN
E	Q5SNT2	TMEM201	7|10	17	8.5	2	0|0|0|0|0|0|0|0|0|0|0|0	1.0	1.0	1.0	1.0	1.0	11.62	85.0	0.0	8.5	7.02	2.89	7|8	15	7.5	666	TM201_HUMAN
E	O95477	ABCA1	2|9	11	5.5	2	0|0|0|0|0|0|0|0|0|0|0|0	0.98	1.0	0.98	1.0	0.98	3.11	55.0	0.0	5.5	1.34	2.27	2|8	10	5.0	2261	ABCA1_HUMAN
E	P50402	EMD	35|40	75	37.5	2	7|9|13|7|8|0|0|0|6|7|8|14	1.0	1.0	1.0	1.0	1.0	4.94	3.12	0.0	30.92	66.95	2.1	13|13	26	13.0	254	EMD_HUMAN
E	Q8TCJ2	STT3B	18|17	35	17.5	2	0|0|0|0|0|0|0|0|0|0|0|0	1.0	1.0	1.0	1.0	1.0	27.02	175.0	0.0	17.5	11.65	1.32	12|14	26	13.0	826	STT3B_HUMAN
E	P27105	STOM	12|10	22	11.0	2	2|0|0|0|0|0|0|0|0|2|0|0	1.0	1.0	1.0	1.0	1.0	10.66	8.25	0.0	10.67	20.38	1.32	9|7	16	8.0	288	STOM_HUMAN
E	P07099	EPHX1	26|25	51	25.5	2	0|0|0|0|0|0|0|0|0|0|0|0	1.0	1.0	1.0	1.0	1.0	38.73	255.0	0.0	25.5	30.82	4.33	17|19	36	18.0	455	HYEP_HUMAN
E	P13804	ETFA	19|20	39	19.5	2	4|3|0|0|0|0|0|0|0|0|0|0	1.0	1.0	1.0	1.0	1.0	8.17	8.36	0.0	18.92	31.25	5.76	14|13	27	13.5	333	ETFA_HUMAN
E	P13196	ALAS1	11|7	18	9.0	2	0|0|0|0|0|0|0|0|0|0|0|0	1.0	1.0	1.0	1.0	1.0	11.65	90.0	0.0	9.0	7.73	5.14	7|7	14	7.0	640	HEM1_HUMAN
E	O95573	ACSL3	33|27	60	30.0	2	0|0|0|0|0|0|0|0|0|0|0|0	1.0	1.0	1.0	1.0	1.0	41.65	300.0	0.0	30.0	22.92	2.32	22|21	43	21.5	720	ACSL3_HUMAN
E	Q14517	FAT1	16|28	44	22.0	2	0|0|0|0|0|0|0|0|0|0|0|0	1.0	1.0	1.0	1.0	1.0	25.38	220.0	0.0	22.0	2.64	1.11	16|26	42	21.0	4588	FAT1_HUMAN
E	P51648	ALDH3A2	28|31	59	29.5	2	4|4|6|4|4|0|0|0|4|2|0|0	1.0	1.0	1.0	1.0	1.0	17.3	6.32	0.0	27.17	30.81	2.06	14|12	26	13.0	485	AL3A2_HUMAN
E	P04075	ALDOA	5|5	10	5.0	2	0|0|0|0|0|0|3|0|0|0|0|0	0.77	0.77	0.77	0.77	0.77	1.2	5.0	0.01	4.75	7.18	1.06	5|4	9	4.5	364	ALDOA_HUMAN
E	Q9Y2H6	FNDC3A	31|30	61	30.5	2	0|0|0|0|0|0|0|0|0|0|0|0	1.0	1.0	1.0	1.0	1.0	45.98	305.0	0.0	30.5	14.0	3.71	21|20	41	20.5	1198	FND3A_HUMAN
E	Q9NTJ5	SACM1L	2|4	6	3.0	2	0|0|0|0|0|0|0|0|0|0|0|0	0.98	1.0	0.98	1.0	0.98	3.14	30.0	0.0	3.0	2.81	1.18	2|3	5	2.5	587	SAC1_HUMAN
E	P18850	ATF6	31|27	58	29.0	2	0|0|0|0|0|0|0|0|0|0|0|0	1.0	1.0	1.0	1.0	1.0	41.59	290.0	0.0	29.0	23.81	7.5	17|15	32	16.0	670	ATF6A_HUMAN
E	Q12770	SCAP	2|3	5	2.5	2	0|0|0|0|0|0|0|0|0|0|0|0	0.98	0.99	0.98	0.99	0.98	3.11	25.0	0.0	2.5	1.08	1.76	2|3	5	2.5	1279	SCAP_HUMAN
E	Q14914	PTGR1	6|5	11	5.5	2	2|0|0|0|0|0|0|0|0|0|0|0	0.93	0.95	0.92	0.95	0.93	2.16	8.25	0.01	5.33	8.91	0.71	5|4	9	4.5	329	PTGR1_HUMAN
E	Q9UL25	RAB21	2|4	6	3.0	2	0|0|0|0|0|0|0|0|0|0|0|0	0.98	1.0	0.98	1.0	0.98	3.11	30.0	0.0	3.0	7.33	1.75	2|4	6	3.0	225	RAB21_HUMAN
E	Q8TEY7	USP33	12|14	26	13.0	2	0|0|0|0|0|0|0|0|0|0|0|0	1.0	1.0	1.0	1.0	1.0	19.46	130.0	0.0	13.0	7.59	2.28	8|12	20	10.0	942	UBP33_HUMAN
E	Q6P996	PDXDC1	64|60	124	62.0	2	11|8|11|10|8|0|0|0|9|8|3|5	1.0	1.0	1.0	1.0	1.0	35.83	5.81	0.0	55.92	39.03	1.75	34|31	65	32.5	788	PDXD1_HUMAN
E	A3KMH1	VWA8	9|6	15	7.5	2	0|0|0|0|0|0|0|0|0|0|0|0	1.0	1.0	1.0	1.0	1.0	10.08	75.0	0.0	7.5	2.17	2.71	8|6	14	7.0	1905	VWA8_HUMAN
E	Q86XL3	ANKLE2	105|104	209	104.5	2	13|14|8|11|8|0|0|0|18|18|10|13	1.0	1.0	1.0	1.0	1.0	67.47	6.27	0.0	95.08	55.75	2.58	50|54	104	52.0	938	ANKL2_HUMAN
E	Q96S66	CLCC1	17|15	32	16.0	2	0|0|0|0|0|0|0|0|0|0|0|0	1.0	1.0	1.0	1.0	1.0	23.89	160.0	0.0	16.0	15.97	1.56	12|13	25	12.5	551	CLCC1_HUMAN
E	Q92575	UBXN4	13|15	28	14.0	2	0|0|0|0|0|0|0|0|0|0|0|0	1.0	1.0	1.0	1.0	1.0	20.88	140.0	0.0	14.0	15.16	2.3	11|10	21	10.5	508	UBXN4_HUMAN
E	Q96CS3	FAF2	10|11	21	10.5	2	0|0|0|0|0|0|0|0|0|0|0|0	1.0	1.0	1.0	1.0	1.0	16.53	105.0	0.0	10.5	12.98	3.19	8|9	17	8.5	445	FAF2_HUMAN
E	Q8WXH0	SYNE2	5|6	11	5.5	2	0|0|0|4|0|0|0|0|0|0|0|0	0.72	0.77	0.72	0.76	0.72	0.7	4.12	0.01	5.17	0.41	2.1	2|4	6	3.0	6885	SYNE2_HUMAN
E	A2VDJ0	TMEM131L	8|12	20	10.0	2	0|0|0|0|0|0|0|0|0|0|0|0	1.0	1.0	1.0	1.0	1.0	13.2	100.0	0.0	10.0	3.42	6.05	7|11	18	9.0	1610	T131L_HUMAN
E	Q8WVM8	SCFD1	24|23	47	23.5	2	3|2|6|7|5|0|0|0|3|4|4|0	1.0	1.0	1.0	1.0	1.0	8.46	3.92	0.0	20.67	20.67	2.25	18|18	36	18.0	550	SCFD1_HUMAN
E	Q2PZI1	DPY19L1	2|6	8	4.0	2	0|0|0|0|0|0|0|0|0|0|0|0	0.98	1.0	0.98	1.0	0.98	3.11	40.0	0.0	4.0	3.26	1.2	2|6	8	4.0	675	D19L1_HUMAN
E	Q9Y2G8	DNAJC16	15|13	28	14.0	2	0|0|0|0|0|0|0|0|0|0|0|0	1.0	1.0	1.0	1.0	1.0	20.91	140.0	0.0	14.0	9.85	1.6	12|12	24	12.0	782	DJC16_HUMAN
E	Q9BSJ8	ESYT1	75|81	156	78.0	2	22|15|11|12|18|0|0|0|15|13|11|11	1.0	1.0	1.0	1.0	1.0	32.5	4.25	0.0	67.33	33.24	2.84	40|40	80	40.0	1114	ESYT1_HUMAN
E	O94901	SUN1	10|23	33	16.5	2	0|0|0|0|0|0|0|0|0|0|0|0	1.0	1.0	1.0	1.0	1.0	16.31	165.0	0.0	16.5	11.56	2.01	9|17	26	13.0	785	SUN1_HUMAN
E	Q15629	TRAM1	7|6	13	6.5	2	0|0|0|0|0|0|0|0|0|0|0|0	1.0	1.0	1.0	1.0	1.0	10.11	65.0	0.0	6.5	9.56	1.17	3|3	6	3.0	374	TRAM1_HUMAN
E	Q92545	TMEM131	33|33	66	33.0	2	0|0|0|0|2|0|0|0|0|0|0|0	1.0	1.0	1.0	1.0	1.0	19.15	49.5	0.0	32.83	9.59	4.25	21|22	43	21.5	1883	TM131_HUMAN
E	Q15043	SLC39A14	2|3	5	2.5	2	0|0|0|0|0|0|0|0|0|0|0|0	0.98	0.99	0.98	0.99	0.98	3.11	25.0	0.0	2.5	2.79	1.09	2|3	5	2.5	492	S39AE_HUMAN
E	P40429	RPL13A	10|11	21	10.5	2	2|0|0|0|0|0|3|0|3|0|0|0	0.97	0.99	0.98	0.99	0.98	3.51	3.94	0.0	9.83	38.07	1.55	8|6	14	7.0	142	RL13A_HUMAN
E	Q13423	NNT	5|3	8	4.0	2	0|0|0|0|0|0|0|0|0|0|0|0	1.0	1.0	1.0	1.0	1.0	5.02	40.0	0.0	4.0	2.03	0.76	5|3	8	4.0	1086	NNTM_HUMAN
E	Q9Y2U8	LEMD3	95|93	188	94.0	2	0|0|12|9|11|0|0|0|7|13|5|3	1.0	1.0	1.0	1.0	1.0	69.34	7.83	0.0	89.0	53.79	2.49	41|41	82	41.0	910	MAN1_HUMAN
E	Q9Y305	ACOT9	11|8	19	9.5	2	2|0|0|0|0|0|0|0|0|0|0|0	0.99	1.0	0.99	1.0	0.99	4.26	14.25	0.0	9.33	11.69	1.97	10|7	17	8.5	439	ACOT9_HUMAN
